case,method,mean_coverage_interval,sd_coverage_interval,mean_coverage_score,sd_coverage_score,mean_width,sd_width,mean_interval_score,sd_interval_score,n_macroreps
n1000_r5_lhs,CKME,0.88632,0.015179793228136541,0.8991999999999999,0.014768969123794396,2.0676455658367545,0.1459393994898894,3.1118737266451637,0.3500997137335404,50
n1000_r5_lhs,DCP-DR,0.8608399999999999,0.018375182908988305,0.9020400000000001,0.014571372548911925,1.9594072456289973,0.12817459601317932,3.254866584427356,0.4048931053737425,50
n1000_r5_lhs,hetGP,0.9024399999999999,0.014502863897330416,,,2.364385505600861,0.16601463440060218,3.014428857860085,0.3085789778993177,50
n1000_r5_mixed,CKME,0.9092,0.014685825458167311,0.9221200000000002,0.012625920859526251,0.9296167048353992,0.04592351083020829,1.2491797779297054,0.10128235593344836,50
n1000_r5_mixed,DCP-DR,0.90036,0.01993331740722409,0.93744,0.011828985499998845,1.0450173462390622,0.04424775996600622,1.258011912239283,0.09495573867138253,50
n1000_r5_mixed,hetGP,0.9006799999999999,0.015218731744740348,,,0.9656577946610636,0.04944616715685201,1.205739492655239,0.09033120901909912,50
n1000_r5_sampling,CKME,0.9221999999999998,0.012855555457561866,0.9350800000000001,0.01137279245230759,0.7636938012169492,0.03213337425957968,0.9973841793408941,0.08188029230843617,50
n1000_r5_sampling,DCP-DR,0.90452,0.019292845242499117,0.94384,0.012485681595249754,0.8568270200764294,0.036793888623587165,1.017886970675095,0.07685899143545354,50
n1000_r5_sampling,hetGP,0.9056399999999999,0.014600475250861548,,,0.7703720814566537,0.03862405252036922,0.962635986466021,0.07094694587758829,50
n100_r50_lhs,CKME,0.8882800000000001,0.01534373501079946,0.90156,0.014333007431827301,2.0916471984834306,0.14113007744150988,3.0602465072895284,0.35029333706241067,50
n100_r50_lhs,DCP-DR,0.8606400000000001,0.023276299586682165,0.90244,0.015190168678780243,1.9710384499592593,0.12317431090955469,3.2339769778138576,0.4066337332288438,50
n100_r50_lhs,hetGP,0.90276,0.01338223006948593,,,2.3824105189657088,0.16325851291607948,3.0038857052614896,0.30666024564949546,50
n100_r50_mixed,CKME,0.8983599999999999,0.013604861076025713,0.9054000000000001,0.013261883388885922,4.798604466336228,0.19365397690081684,6.355553685779143,0.43730185519475845,50
n100_r50_mixed,DCP-DR,0.90164,0.0127563669576876,0.9154400000000001,0.011884065819750553,4.603871192745368,0.16124168983366438,6.603196956100183,0.5488582994773579,50
n100_r50_mixed,hetGP,0.9004000000000001,0.013099306727254461,,,4.979558248566274,0.17853105012160614,6.332552918760883,0.42098577423674166,50
n100_r50_sampling,CKME,0.9007600000000001,0.013191772327585762,0.9062800000000002,0.012121897877942446,5.209021979938954,0.139930187628294,6.744615449637588,0.42322020903162544,50
n100_r50_sampling,DCP-DR,0.919,0.014541987063503452,0.9273599999999999,0.013001977871517394,5.212549907704252,0.11924171103886615,7.037876626919234,0.4528675433519409,50
n100_r50_sampling,hetGP,0.89944,0.013080847504216678,,,5.232961542792665,0.12437069294538484,6.633383716924199,0.3683850705432839,50
n250_r20_lhs,CKME,0.88876,0.014878501131443574,0.9024,0.0137855292363598,2.0813779614897614,0.12321200958244778,3.0544281574827723,0.29821797736180644,50
n250_r20_lhs,DCP-DR,0.86112,0.02052041293294986,0.90036,0.013289185414448552,1.9605330336966384,0.10297206801927934,3.2135807254703237,0.40168921568099514,50
n250_r20_lhs,hetGP,0.9006799999999999,0.015346926834558983,,,2.363572456548114,0.1359842139641521,2.997703096204484,0.26733822177480415,50
n250_r20_mixed,CKME,0.89712,0.015333889371757793,0.9051600000000001,0.013833352184234355,3.870408826623016,0.14544741036620584,5.1213737189314195,0.37109773303927546,50
n250_r20_mixed,DCP-DR,0.9086399999999999,0.016578520649888386,0.92304,0.014004314204077625,3.8094855800206306,0.11327034429743986,5.345188880602365,0.4374612068182728,50
n250_r20_mixed,hetGP,0.9011200000000001,0.014212153465342587,,,4.035114381355185,0.16380854634473913,5.03989508322257,0.35634588872407974,50
n250_r20_sampling,CKME,0.8984000000000001,0.012348675877128188,0.905,0.011408911661772244,3.7460412372131286,0.14392642465085795,4.859326951349766,0.35115521343989825,50
n250_r20_sampling,DCP-DR,0.9244800000000001,0.011651819512813574,0.93452,0.010688998731291451,3.8574975987647537,0.10948043368489249,5.04218698478516,0.3945622851812956,50
n250_r20_sampling,hetGP,0.89968,0.011831193636195086,,,3.7975310751184397,0.1309898892555047,4.795713414479104,0.30900025650143026,50
